puzzle,current_name,legacy_names,current_key,current_point,best_transform_index,best_point,point_delta,best_existing_key,best_effect_name,proposed_source_name,moved_count,orientation_count,move_count,moves
rubiks-7,W2-4[FL@D>UB@L>FL@U>UB@R],Edge6PDN,W2-4[FL@D>UB@L>FL@U>UB@R]#00,1320,0,1320,0,W2-4[FL@D>UB@L>FL@U>UB@R]#00,W2-4[FL@D>UB@L>FL@U>UB@R],W2-4[FL@D>UB@L>FL@U>UB@R],14,2,25,U2 F' 2L2 2R2 F U2 F' 2L2 2R2 F 2R2 B2 2R' U2 2R' U2 B2 2R' B2 2R B2 2R' B2 2R2 B2
rubiks-7,W2-4[FL@D>UB@R>FL@U>UB@L],Edge6PCN,W2-4[FL@D>UB@R>FL@U>UB@L]#00,1320,0,1320,0,W2-4[FL@D>UB@R>FL@U>UB@L]#00,W2-4[FL@D>UB@R>FL@U>UB@L],W2-4[FL@D>UB@R>FL@U>UB@L],14,2,25,U2 F 2R 2L' F' U2 F 2R' 2L F' 2L2 B2 2L U2 2L U2 B2 2L B2 2L' B2 2L B2 2L2 B2
rubiks-7,W2-4[FL@D>UF@L>FL@U>UF@R],Edge6PBN,W2-4[FL@D>UF@L>FL@U>UF@R]#00,1320,0,1320,0,W2-4[FL@D>UF@L>FL@U>UF@R]#00,W2-4[FL@D>UF@L>FL@U>UF@R],W2-4[FL@D>UF@L>FL@U>UF@R],14,2,25,F 2D2 2U2 F' L2 F 2D2 2U2 F' L2 2U2 F2 2U L2 2U L2 F2 2U F2 2U' F2 2U F2 2U2 F2
rubiks-7,W2-4[FL@D>UF@R>FL@U>UF@L],Edge6PAN,W2-4[FL@D>UF@R>FL@U>UF@L]#00,1320,0,1320,0,W2-4[FL@D>UF@R>FL@U>UF@L]#00,W2-4[FL@D>UF@R>FL@U>UF@L],W2-4[FL@D>UF@R>FL@U>UF@L],14,2,25,F' 2U 2D' F L2 F' 2U' 2D F L2 2D2 F2 2D' L2 2D' L2 F2 2D' F2 2D F2 2D' F2 2D2 F2
rubiks-7,W2-4s[FL@D<>UB@L;FL@U<>UB@R],Edge6PCX,W2-4s[FL@D<>UB@L;FL@U<>UB@R]#00,1320,0,1320,0,W2-4s[FL@D<>UB@L;FL@U<>UB@R]#00,W2-4s[FL@D<>UB@L;FL@U<>UB@R],W2-4s[FL@D<>UB@L;FL@U<>UB@R],24,0,17,U2 F 2R 2L' F' U2 F 2R' 2L F' 2L2 B2 U2 2L2 U2 B2 2L2
rubiks-7,W2-4s[FL@D<>UB@R;FL@U<>UB@L],Edge6PDX,W2-4s[FL@D<>UB@R;FL@U<>UB@L]#00,1320,0,1320,0,W2-4s[FL@D<>UB@R;FL@U<>UB@L]#00,W2-4s[FL@D<>UB@R;FL@U<>UB@L],W2-4s[FL@D<>UB@R;FL@U<>UB@L],24,4,17,U2 F' 2L2 2R2 F U2 F' 2L2 2R2 F 2R2 B2 U2 2R2 U2 B2 2R2
rubiks-7,W2-4s[FL@D<>UF@L;FL@U<>UF@R],Edge6PBX,W2-4s[FL@D<>UF@L;FL@U<>UF@R]#00,1320,0,1320,0,W2-4s[FL@D<>UF@L;FL@U<>UF@R]#00,W2-4s[FL@D<>UF@L;FL@U<>UF@R],W2-4s[FL@D<>UF@L;FL@U<>UF@R],24,4,17,F 2D2 2U2 F' L2 F 2D2 2U2 F' L2 2U2 F2 L2 2U2 L2 F2 2U2
rubiks-7,W2-4s[FL@D<>UF@R;FL@U<>UF@L],Edge6PAX,W2-4s[FL@D<>UF@R;FL@U<>UF@L]#00,1320,0,1320,0,W2-4s[FL@D<>UF@R;FL@U<>UF@L]#00,W2-4s[FL@D<>UF@R;FL@U<>UF@L],W2-4s[FL@D<>UF@R;FL@U<>UF@L],16,0,17,F' 2U 2D' F L2 F' 2U' 2D F L2 2D2 F2 L2 2D2 L2 F2 2D2
