puzzle,current_name,legacy_names,current_key,current_point,best_transform_index,best_point,point_delta,best_existing_key,best_effect_name,proposed_source_name,moved_count,orientation_count,move_count,moves
rubiks-7,CtrCore6s[B<>L;D<>U;F<>R]+ME2[LB>FR],,CtrCore6s[B<>L;D<>U;F<>R]+ME2[LB>FR]#00,94,0,94,0,CtrCore6s[B<>L;D<>U;F<>R]+ME2[LB>FR]#00,CtrCore6s[B<>L;D<>U;F<>R]+ME2[LB>FR],CtrCore6s[B<>L;D<>U;F<>R]+ME2[LB>FR],20,2,18,B' E B E B' E B' E B E B M' E2 M E' F2 E' F2
rubiks-7,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[FL<>RF],,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[FL<>RF]#00,104,0,104,0,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[FL<>RF]#00,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[FL<>RF],CtrCore6s[B<>L;D<>U;F<>R]+ME2s[FL<>RF],20,0,16,M E2 M' E B' E' B2 R2 B' E' B' E' B2 R2 B' E'
rubiks-7,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[LB<>RF],,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[LB<>RF]#00,94,0,94,0,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[LB<>RF]#00,CtrCore6s[B<>L;D<>U;F<>R]+ME2s[LB<>RF],CtrCore6s[B<>L;D<>U;F<>R]+ME2s[LB<>RF],16,0,22,E' F E' F' E' F' B2 E' F B2 E2 F' R2 F E F' R2 F S E2 S' E2
rubiks-7,CtrCore6s[B<>R;D<>U;F<>L]+ME2[LB>FR],,CtrCore6s[B<>R;D<>U;F<>L]+ME2[LB>FR]#00,94,0,94,0,CtrCore6s[B<>R;D<>U;F<>L]+ME2[LB>FR]#00,CtrCore6s[B<>R;D<>U;F<>L]+ME2[LB>FR],CtrCore6s[B<>R;D<>U;F<>L]+ME2[LB>FR],20,2,18,B' E B E B' E B' E B E B S E2 S' E' F2 E' F2
rubiks-7,CtrCore6s[B<>R;D<>U;F<>L]+ME2s[LB<>RF],,CtrCore6s[B<>R;D<>U;F<>L]+ME2s[LB<>RF]#00,94,0,94,0,CtrCore6s[B<>R;D<>U;F<>L]+ME2s[LB<>RF]#00,CtrCore6s[B<>R;D<>U;F<>L]+ME2s[LB<>RF],CtrCore6s[B<>R;D<>U;F<>L]+ME2s[LB<>RF],16,0,22,E' F E' F' E' F' B2 E' F B2 E2 F' R2 F E F' R2 F M E2 M' E2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2[FL>FR],,CtrCore6s[B<>U;D<>F;L<>R]+ME2[FL>FR]#00,104,0,104,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2[FL>FR]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2[FL>FR],CtrCore6s[B<>U;D<>F;L<>R]+ME2[FL>FR],24,2,23,M F' M F M F M F' M2 F U2 F' M' F M U2 F2 M' F E' M2 E M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2[LB>FR],,CtrCore6s[B<>U;D<>F;L<>R]+ME2[LB>FR]#00,94,0,94,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2[LB>FR]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2[LB>FR],CtrCore6s[B<>U;D<>F;L<>R]+ME2[LB>FR],20,2,19,B' M F M F' M F' M F M B E B2 E' B2 E' M2 E M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>BU],,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>BU]#00,74,0,74,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>BU]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>BU],CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>BU],20,2,18,M F' M F2 D2 F' M F' M F M F D2 F' E M2 E' M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>FU],,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>FU]#00,74,0,74,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>FU]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>FU],CtrCore6s[B<>U;D<>F;L<>R]+ME2[RF>FU],16,2,20,U2 M U2 M2 F' U2 M' F M' F M' F' M' F' U2 F S' M2 S M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[FL<>RF],,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[FL<>RF]#00,104,0,104,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[FL<>RF]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[FL<>RF],CtrCore6s[B<>U;D<>F;L<>R]+ME2s[FL<>RF],20,0,18,S E' S' B E' B2 R2 B E' B E' B2 R2 B E2 M2 E M2
